FECHA,VV
2020-02-04,14974.76
2020-02-05,10382.76
2020-02-06,17258.76
2020-02-07,15361.83
2020-02-08,3880.86
2020-02-09,0.0
2020-02-10,12891.61
2020-02-11,13735.3
2020-02-12,23337.44
2020-02-13,6379.15
2020-02-14,11121.05
2020-02-15,5147.17
2020-02-17,11744.11
2020-02-18,16191.61
2020-02-19,24279.32
2020-02-20,16716.97
2020-02-21,16607.6
2020-02-22,7505.96
2020-02-24,13352.64
2020-02-25,23600.18
2020-02-26,20792.38
2020-02-27,23603.9
2020-02-28,16269.36
2020-02-29,11833.15
2020-03-02,8123.02
2020-03-03,21058.06
2020-03-04,10286.27
2020-03-05,17809.59
2020-03-06,15493.21
2020-03-07,8004.43
2020-03-09,12158.72
2020-03-10,18400.59
2020-03-11,9973.66
2020-03-12,7877.82
2020-03-13,12485.97
2020-03-22,1625.89
2020-03-25,8.49
2020-03-30,1.43
2020-04-15,0.0
2020-04-16,6911.99
2020-04-17,3417.29
2020-04-20,49.01
2020-04-21,552.67
2020-04-22,2672.11
2020-04-23,239.16
2020-04-24,122.86
2020-04-25,742.36
2020-04-27,251.15
2020-04-28,1313.64
2020-04-29,866.54
2020-04-30,1875.73
2020-05-04,2576.79
2020-05-05,2605.21
2020-05-06,727.73
2020-05-07,1419.28
2020-05-08,1510.83
2020-05-11,2442.01
2020-05-12,3407.09
2020-05-13,2823.05
2020-05-14,4392.61
2020-05-15,8709.09
2020-05-16,1823.52
2020-05-17,625.04
2020-05-18,3834.69
2020-05-19,9487.46
2020-05-20,9253.74
2020-05-21,5317.3
2020-05-22,11555.68
2020-05-23,7386.79
2020-05-25,9620.25
2020-05-26,5854.41
2020-05-27,10323.53
2020-05-28,15554.04
2020-05-29,4153.05
2020-05-30,12584.62
2020-06-01,12498.08
2020-06-02,8022.42
2020-06-03,7677.86
2020-06-04,7347.55
2020-06-05,9267.36
2020-06-06,5240.51
2020-06-08,12322.08
2020-06-09,11553.51
2020-06-10,6897.43
2020-06-11,9003.88
2020-06-12,5190.05
2020-06-13,5796.13
2020-06-15,10625.22
2020-06-16,9411.51
2020-06-17,8058.82
2020-06-18,8812.95
2020-06-19,5505.64
2020-06-20,4533.95
2020-06-22,11305.82
2020-06-23,8877.86
2020-06-24,14972.32
2020-06-25,8506.85
2020-06-26,9253.1
2020-06-27,6458.87
2020-06-30,7409.8
2020-07-01,6143.46
2020-07-02,18114.01
2020-07-03,9025.73
2020-07-04,13012.95
2020-07-06,9130.67
2020-07-07,7454.17
2020-07-08,9774.34
2020-07-09,14543.52
2020-07-10,10901.05
2020-07-11,11571.08
2020-07-13,7057.36
2020-07-14,8957.33
2020-07-15,8706.09
2020-07-16,10078.88
2020-07-17,17899.2
2020-07-18,3014.3
2020-07-20,6306.31
2020-07-21,10067.03
2020-07-22,7145.56
2020-07-23,5993.19
2020-07-24,18103.93
2020-07-25,6707.61
2020-07-27,5873.11
2020-07-28,2.98
2020-07-29,8606.1
2020-07-30,12474.36
2020-07-31,11426.17
2020-08-01,4464.75
2020-08-03,4393.62
2020-08-04,9046.12
2020-08-05,16432.58
2020-08-06,7216.44
2020-08-07,10490.87
2020-08-08,4469.64
2020-08-10,7404.35
2020-08-11,7031.96
2020-08-12,9192.9
2020-08-13,7713.36
2020-08-14,10835.07
2020-08-15,2988.66
2020-08-17,7480.69
2020-08-18,4950.69
2020-08-19,7859.33
2020-08-20,11878.95
2020-08-21,10344.89
2020-08-22,8693.15
2020-08-24,5011.7
