var1(t-7),var1(t-6),var1(t-5),var1(t-4),var1(t-3),var1(t-2),var1(t-1),var1(t)
-0.73149145,-0.9532187,-0.80570376,-0.62578773,-0.7365997,-0.79412687,-0.646207,-0.80695987
-0.9532187,-0.80570376,-0.62578773,-0.7365997,-0.79412687,-0.646207,-0.80695987,-0.5231714
-0.80570376,-0.62578773,-0.7365997,-0.79412687,-0.646207,-0.80695987,-0.5231714,-0.6749487
-0.62578773,-0.7365997,-0.79412687,-0.646207,-0.80695987,-0.5231714,-0.6749487,-0.7370951
-0.7365997,-0.79412687,-0.646207,-0.80695987,-0.5231714,-0.6749487,-0.7370951,-0.6654279
-0.79412687,-0.646207,-0.80695987,-0.5231714,-0.6749487,-0.7370951,-0.6654279,-0.39416826
-0.646207,-0.80695987,-0.5231714,-0.6749487,-0.7370951,-0.6654279,-0.39416826,-0.90186304
-0.80695987,-0.5231714,-0.6749487,-0.7370951,-0.6654279,-0.39416826,-0.90186304,-0.67832184
-0.5231714,-0.6749487,-0.7370951,-0.6654279,-0.39416826,-0.90186304,-0.67832184,-0.7867937
-0.6749487,-0.7370951,-0.6654279,-0.39416826,-0.90186304,-0.67832184,-0.7867937,-0.97385085
-0.7370951,-0.6654279,-0.39416826,-0.90186304,-0.67832184,-0.7867937,-0.97385085,-0.3694374
-0.6654279,-0.39416826,-0.90186304,-0.67832184,-0.7867937,-0.97385085,-0.3694374,-0.7636982
-0.39416826,-0.90186304,-0.67832184,-0.7867937,-0.97385085,-0.3694374,-0.7636982,-0.9975904
-0.90186304,-0.67832184,-0.7867937,-0.97385085,-0.3694374,-0.7636982,-0.9975904,-0.74222577
-0.67832184,-0.7867937,-0.97385085,-0.3694374,-0.7636982,-0.9975904,-0.74222577,-0.67459
-0.7867937,-0.97385085,-0.3694374,-0.7636982,-0.9975904,-0.74222577,-0.67459,-0.7753827
-0.97385085,-0.3694374,-0.7636982,-0.9975904,-0.74222577,-0.67459,-0.7753827,-0.8213405
-0.3694374,-0.7636982,-0.9975904,-0.74222577,-0.67459,-0.7753827,-0.8213405,-0.5954693
